Datetime,Open,High,Low,Close,Volume,1,2,3,4,5,6
1632576600000,42538.42,42585.23,42421.69,42487.35,1267.500,1632576899999,53841828.06790,12217,521.437,22148328.38848,0
1632576900000,42487.34,42650.00,42466.66,42587.05,936.647,1632577199999,39867527.41543,8839,497.486,21176709.08852,0
1632577200000,42587.06,42613.33,42516.25,42555.78,619.997,1632577499999,26384320.53452,6073,258.277,10991485.22925,0
1632577500000,42555.79,42632.93,42550.00,42608.46,467.602,1632577799999,19915678.85438,5729,227.196,9676823.07136,0
1632577800000,42608.47,42634.32,42550.00,42560.00,373.413,1632578099999,15902585.21263,4951,157.154,6693255.10154,0
1632578100000,42559.99,42576.18,42450.08,42485.00,661.227,1632578399999,28103382.84671,7354,339.114,14413007.15556,0
1632578400000,42485.01,42494.39,42400.04,42469.02,789.962,1632578699999,33521089.09863,9222,396.386,16821278.83947,0
1632578700000,42469.01,42591.13,42446.59,42511.32,916.661,1632578999999,38986698.58083,9209,508.717,21636175.79589,0
1632579000000,42511.32,42570.04,42474.04,42541.56,389.450,1632579299999,16561844.34470,5609,182.798,7773438.14627,0
1632579300000,42541.57,42550.00,42225.00,42250.65,1841.924,1632579599999,78013255.62552,16539,726.061,30758543.76436,0
1632579600000,42253.00,42332.81,42145.18,42240.00,3626.071,1632579899999,153090635.38370,28252,1759.814,74309717.38143,0
1632579900000,42240.00,42407.40,42216.11,42302.70,1867.675,1632580199999,79021752.56246,15509,1105.436,46771084.37764,0
1632580200000,42302.71,42374.34,42250.93,42314.58,1049.608,1632580499999,44393845.79133,9458,556.199,23526562.83220,0
1632580500000,42314.35,42398.99,42275.50,42346.09,1081.571,1632580799999,45795673.63921,8672,630.669,26708084.23101,0
1632580800000,42346.09,42351.32,42220.00,42236.27,1009.846,1632581099999,42679146.19494,8928,311.466,13163962.29897,0
1632581100000,42236.28,42330.80,42201.00,42288.68,1030.336,1632581399999,43545585.61556,9410,585.674,24755809.68871,0
1632581400000,42288.68,42415.60,42282.38,42348.00,1338.960,1632581699999,56721894.17717,10415,857.486,36330735.96256,0
1632581700000,42348.00,42379.58,42253.13,42334.54,590.242,1632581999999,24981134.94880,7215,283.700,12008371.27744,0
1632582000000,42334.55,42334.55,42214.63,42327.49,1061.733,1632582299999,44879801.31050,10960,491.023,20756977.21779,0
1632582300000,42327.48,42380.00,42274.35,42352.94,753.550,1632582599999,31902806.83425,7637,328.157,13892896.28924,0
1632582600000,42352.94,42360.79,42232.00,42308.59,644.930,1632582899999,27280379.45992,7009,273.835,11583683.96253,0
1632582900000,42308.67,42480.00,42308.67,42416.35,1386.282,1632583199999,58788349.69462,11673,849.364,36017911.93221,0
1632583200000,42416.36,42640.00,42393.73,42638.46,1755.755,1632583499999,74665910.92304,17049,1074.594,45703426.65170,0
1632583500000,42638.47,42650.00,42563.00,42643.61,1562.606,1632583799999,66584115.01277,15187,712.245,30352772.15321,0
